p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,BestFitness, CurLevel, BestOM, BestLOS
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.18,0.18,0.6,0.4,0.38,0.32,0.44,0.46,0.34,0.34,0.52,0.28,0.64,0.66,0.08,0.42,0.8,0.02,0.78,0.52,0.74,0.6,0.74,0.56,0.64,0.26,0.7,0.28,0.16,0.34,0.18,0.22,0.08,0.48,0.32,0.78,0.58,0.64,0.2,0.44,0.64,0.84,0.68,0.26,0.42,0.28,0.8,0.92,0.34,0.28,0.7,0.88,0.58,0.7,0.76,0.9,0.48,0.24,0.66,0.9,0.24,0.72,0.42,0.72,0.5,0.6,0.04,0.02,0.6,0.62,0.22,0.32,0.46,0.56,0.4,0.58,0.48,0.1,29,21,68,28
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.28,0.28,0.6,0.42,0.36,0.34,0.4,0.5,0.38,0.34,0.5,0.28,0.68,0.7,0.04,0.4,0.8,0.02,0.8,0.54,0.76,0.64,0.76,0.6,0.58,0.24,0.74,0.32,0.16,0.3,0.18,0.22,0.1,0.5,0.32,0.78,0.58,0.62,0.22,0.4,0.64,0.86,0.66,0.22,0.44,0.26,0.86,0.92,0.36,0.28,0.72,0.88,0.56,0.72,0.74,0.88,0.48,0.24,0.68,0.9,0.26,0.7,0.42,0.72,0.56,0.62,0.06,0.02,0.6,0.68,0.22,0.3,0.42,0.5,0.4,0.56,0.46,0.1,29,21,68,28
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.42,0.42,0.58,0.46,0.34,0.34,0.44,0.54,0.38,0.3,0.5,0.26,0.7,0.68,0.04,0.36,0.86,0.02,0.78,0.54,0.72,0.6,0.78,0.68,0.6,0.16,0.72,0.32,0.2,0.28,0.14,0.28,0.12,0.56,0.4,0.82,0.6,0.6,0.2,0.38,0.64,0.82,0.58,0.26,0.42,0.2,0.9,0.9,0.38,0.26,0.74,0.88,0.58,0.74,0.72,0.84,0.48,0.18,0.7,0.9,0.3,0.7,0.32,0.7,0.54,0.62,0.06,0.02,0.62,0.7,0.24,0.3,0.42,0.5,0.4,0.6,0.48,0.14,29,21,68,28
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.78,0.78,0.58,0.56,0.28,0.38,0.54,0.52,0.46,0.38,0.48,0.3,0.68,0.64,0.02,0.3,0.88,0.02,0.76,0.44,0.76,0.64,0.74,0.66,0.74,0.14,0.74,0.3,0.28,0.28,0.1,0.26,0.06,0.56,0.44,0.82,0.58,0.58,0.16,0.38,0.56,0.78,0.58,0.28,0.46,0.08,0.86,0.88,0.38,0.18,0.74,0.92,0.56,0.74,0.74,0.82,0.52,0.22,0.76,0.96,0.32,0.64,0.32,0.68,0.52,0.62,0.02,0.01,0.62,0.76,0.28,0.24,0.32,0.52,0.44,0.62,0.46,0.08,31,23,60,30
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.72,0.72,0.22,0.4,0.48,0.42,0.48,0.38,0.42,0.32,0.64,0.66,0.02,0.26,0.84,0.02,0.66,0.36,0.74,0.66,0.86,0.7,0.68,0.2,0.66,0.3,0.24,0.3,0.1,0.24,0.16,0.66,0.42,0.8,0.66,0.56,0.22,0.4,0.62,0.78,0.52,0.22,0.5,0.08,0.9,0.92,0.4,0.12,0.74,0.92,0.48,0.78,0.74,0.78,0.48,0.16,0.7,0.92,0.36,0.56,0.32,0.56,0.56,0.58,0.02,0.01,0.64,0.72,0.22,0.22,0.4,0.4,0.52,0.58,0.44,0.1,36,25,68,36
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.28,0.28,0.46,0.36,0.52,0.44,0.48,0.28,0.64,0.58,0.02,0.2,0.86,0.02,0.54,0.36,0.72,0.56,0.92,0.76,0.6,0.18,0.64,0.34,0.34,0.28,0.08,0.26,0.14,0.56,0.44,0.76,0.64,0.58,0.2,0.34,0.6,0.94,0.58,0.26,0.52,0.12,0.88,0.94,0.26,0.08,0.78,0.96,0.4,0.68,0.72,0.78,0.46,0.28,0.76,0.94,0.34,0.62,0.3,0.62,0.58,0.54,0.02,0.01,0.6,0.68,0.16,0.24,0.3,0.42,0.4,0.58,0.48,0.02,36,25,68,36
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.4,0.4,0.38,0.34,0.58,0.44,0.5,0.22,0.68,0.54,0.02,0.22,0.84,0.02,0.5,0.34,0.72,0.6,0.88,0.74,0.62,0.18,0.68,0.32,0.34,0.24,0.12,0.26,0.14,0.64,0.42,0.8,0.66,0.54,0.2,0.36,0.6,0.92,0.54,0.24,0.52,0.12,0.9,0.96,0.3,0.06,0.82,0.98,0.42,0.66,0.76,0.78,0.46,0.24,0.74,0.94,0.34,0.64,0.36,0.62,0.58,0.54,0.02,0.01,0.6,0.7,0.14,0.26,0.32,0.46,0.42,0.58,0.46,0.04,36,25,68,36
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.72,0.72,0.3,0.36,0.7,0.38,0.48,0.2,0.7,0.54,0.01,0.24,0.8,0.02,0.42,0.3,0.78,0.7,0.86,0.66,0.6,0.14,0.8,0.28,0.32,0.24,0.1,0.18,0.14,0.62,0.38,0.8,0.72,0.58,0.18,0.38,0.62,0.9,0.5,0.22,0.54,0.12,0.88,0.94,0.36,0.04,0.84,0.96,0.48,0.62,0.76,0.82,0.46,0.24,0.74,0.94,0.44,0.62,0.36,0.64,0.58,0.66,0.02,0.01,0.6,0.76,0.1,0.36,0.32,0.46,0.44,0.6,0.46,0.04,36,27,68,36
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.18,0.18,0.64,0.36,0.48,0.2,0.62,0.52,0.01,0.26,0.88,0.04,0.36,0.26,0.84,0.78,0.92,0.62,0.58,0.18,0.82,0.22,0.32,0.18,0.12,0.12,0.2,0.56,0.44,0.82,0.72,0.56,0.2,0.38,0.66,0.9,0.44,0.26,0.46,0.14,0.94,0.98,0.36,0.02,0.8,0.92,0.4,0.56,0.74,0.8,0.52,0.26,0.82,0.9,0.36,0.68,0.38,0.7,0.66,0.64,0.01,0.01,0.56,0.88,0.04,0.36,0.3,0.64,0.3,0.54,0.54,0.04,36,27,68,36
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.18,0.18,0.68,0.34,0.46,0.16,0.64,0.52,0.02,0.24,0.88,0.04,0.34,0.24,0.84,0.78,0.92,0.58,0.58,0.18,0.8,0.18,0.34,0.2,0.14,0.12,0.2,0.54,0.44,0.8,0.74,0.56,0.18,0.38,0.68,0.9,0.46,0.28,0.44,0.14,0.96,0.98,0.34,0.02,0.78,0.92,0.42,0.56,0.74,0.82,0.52,0.28,0.8,0.9,0.36,0.64,0.38,0.7,0.62,0.62,0.01,0.01,0.54,0.9,0.04,0.36,0.3,0.62,0.34,0.54,0.54,0.04,36,27,68,36
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.2,0.2,0.66,0.34,0.48,0.18,0.64,0.5,0.01,0.24,0.88,0.04,0.34,0.24,0.82,0.8,0.92,0.6,0.6,0.18,0.8,0.18,0.34,0.18,0.12,0.12,0.2,0.54,0.46,0.8,0.72,0.56,0.2,0.38,0.68,0.9,0.46,0.28,0.44,0.14,0.96,0.98,0.34,0.02,0.78,0.92,0.4,0.56,0.74,0.82,0.54,0.28,0.8,0.88,0.34,0.64,0.38,0.68,0.64,0.62,0.01,0.01,0.56,0.9,0.04,0.36,0.32,0.62,0.34,0.52,0.56,0.04,36,27,68,36
